"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7545","Validar se a mensagem ""Valor deve ser um número"" é exibida quando o campo Valor contém caracteres não numéricos","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","7801","Validar se a mensagem ""Movimentação adicionada com sucesso!"" é exibida ao inserir uma movimentação","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","4072","Verificar se a mensagem ""Conta adicionada com sucesso!"" é exibida ao adicionar uma nova conta","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","4359","Validar se a mensagem ""Data da Movimentação é obrigatório"" é exibida quando o campo Data da Movimentação é deixado em branco","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","3720","Verificar se é possível acessar a tela Adicionar Conta","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","3828","Verificar se é possível acessar a tela Lista de Contas","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","7256","Validar se a mensagem ""Interessado é obrigatório"" é exibida quando o campo Interessado é deixado em branco","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","7115","Validar se a mensagem ""Descrição é obrigatório"" é exibida quando o campo Descrição é deixado em branco","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","6096","Validar se a mensagem ""Valor é obrigatório"" é exibida quando o campo Valor é deixado em branco","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","5793","Validar se a mensagem ""Movimentação removida com sucesso!"" é exibida ao excluir uma movimentação","chromium","2026-03-09","passed","2026-03-09","","ResumoMensalTests.spec.js","",""
"","6516","Validar se a mensagem ""Data do Pagamento é obrigatório"" é exibida quando o campo Data do Pagamento é deixado em branco","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","3844","Validar se é possível acessar a tela de Criar Movimentação","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","6622","Validar se a mensagem ""Conta alterada com sucesso!"" é exibida ao editar o nome de uma conta","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","3941","Verificar se a mensagem ""Informe o nome da conta"" é exibida ao tentar salvar conta sem nome","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","6782","Verificar se a mensagem ""Já existe uma conta com esse nome!"" é exibida caso o usuário tente cadastrar duas contas com o mesmo nome","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","7572","Validar se a mensagem ""Data da Movimentação deve ser menor ou igual à data atual"" é exibida quando o campo Data da Movimentação contém uma data no futuro","chromium","2026-03-09","passed","2026-03-09","","MovimentacaoTests.spec.js","",""
"","6145","Validar se a mensagem ""Conta em uso na movimentações"" é exibida caso o usuário tente excluir uma conta com movimentação associada","chromium","2026-03-09","passed","2026-03-09","","ResumoMensalTests.spec.js","",""
"","4610","Validar se a mensagem ""Conta removida com sucesso!"" é exibida ao excluir uma conta","chromium","2026-03-09","passed","2026-03-09","","ContasTests.spec.js","",""
"","3908","Validar se é possível acessar a tela de Resumo Mensal","chromium","2026-03-09","passed","2026-03-09","","ResumoMensalTests.spec.js","",""
